chr.x	TAD.start	TAD.end	pre.level	pos.level	group	Cell	chr.y	K4me3.start	K4me3.end	value
chr1	3040000	3060000	1	2	raise	late2cell-8cell	chr1	3049919	3050019	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102480043	102480143	1.42
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102480143	102480243	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102480343	102480443	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102480643	102480743	1.89
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102481043	102481143	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102481243	102481343	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102481943	102482043	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102482143	102482243	1.89
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102482243	102482343	1.42
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102482343	102482443	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102482443	102482543	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102482643	102482743	1.42
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102482743	102482843	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102483043	102483143	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102483243	102483343	1.42
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102483543	102483643	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102483743	102483843	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102484043	102484143	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102484143	102484243	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102484243	102484343	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102484343	102484443	1.42
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102484443	102484543	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102484543	102484643	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102484643	102484743	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102484743	102484843	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102485143	102485243	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102485243	102485343	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102485643	102485743	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102485843	102485943	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102486143	102486243	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102486343	102486443	1.42
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102486543	102486643	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102486643	102486743	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102487043	102487143	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102487243	102487343	1.89
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102487443	102487543	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102487543	102487643	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102487743	102487843	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102487843	102487943	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102487943	102488043	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102488143	102488243	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102488343	102488443	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102488543	102488643	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102488743	102488843	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102488943	102489043	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102489043	102489143	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102489543	102489643	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102489643	102489743	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102489743	102489843	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102490443	102490543	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102490543	102490643	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102490643	102490743	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102491543	102491643	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102491843	102491943	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102491943	102492043	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102492043	102492143	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102492143	102492243	1.42
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102492543	102492643	2.83
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102492643	102492743	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102492943	102493043	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102493643	102493743	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102493843	102493943	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102493943	102494043	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102494043	102494143	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102494143	102494243	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102494243	102494343	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102494643	102494743	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102494743	102494843	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102494843	102494943	0.47
