chr	start	end	pre.level	pos.level	group	Cell
chr1	3040000	3060000	1	2	raise	late2cell-8cell
chr1	7220000	7240000	1	2	raise	late2cell-8cell
chr1	7400000	7420000	3	2	reduce	late2cell-8cell
chr1	12860000	12880000	1	2	raise	late2cell-8cell
chr1	14480000	14500000	2	1	reduce	late2cell-8cell
chr1	15760000	15780000	3	2	reduce	late2cell-8cell
chr1	17980000	18000000	1	2	raise	late2cell-8cell
chr1	30780000	30800000	3	2	reduce	late2cell-8cell
chr1	30920000	30940000	2	1	reduce	late2cell-8cell
chr1	36000000	36020000	3	1	reduce	late2cell-8cell
chr1	36140000	36160000	2	3	raise	late2cell-8cell
chr1	36300000	36320000	1	2	raise	late2cell-8cell
chr1	36680000	36700000	4	1	reduce	late2cell-8cell
chr1	37040000	37060000	2	1	reduce	late2cell-8cell
chr1	37880000	37900000	2	1	reduce	late2cell-8cell
chr1	40400000	40420000	2	1	reduce	late2cell-8cell
chr1	43140000	43160000	1	2	raise	late2cell-8cell
chr1	43620000	43640000	2	1	reduce	late2cell-8cell
chr1	46940000	46960000	1	2	raise	late2cell-8cell
chr1	58420000	58440000	2	3	raise	late2cell-8cell
chr1	59260000	59280000	2	3	raise	late2cell-8cell
chr1	59480000	59500000	2	1	reduce	late2cell-8cell
chr1	64480000	64500000	3	2	reduce	late2cell-8cell
chr1	65200000	65220000	1	3	raise	late2cell-8cell
chr1	72880000	72900000	2	1	reduce	late2cell-8cell
chr1	74200000	74220000	2	4	raise	late2cell-8cell
chr1	74560000	74580000	2	3	raise	late2cell-8cell
chr1	76240000	76260000	1	2	raise	late2cell-8cell
chr1	77600000	77620000	2	1	reduce	late2cell-8cell
chr1	80260000	80280000	2	1	reduce	late2cell-8cell
chr1	80840000	80860000	2	1	reduce	late2cell-8cell
chr1	82780000	82800000	2	1	reduce	late2cell-8cell
chr1	84720000	84740000	2	1	reduce	late2cell-8cell
chr1	86360000	86380000	4	3	reduce	late2cell-8cell
chr1	86620000	86640000	1	3	raise	late2cell-8cell
chr1	89080000	89100000	2	1	reduce	late2cell-8cell
chr1	89640000	89660000	1	2	raise	late2cell-8cell
chr1	92920000	92940000	2	1	reduce	late2cell-8cell
chr1	93780000	93800000	1	2	raise	late2cell-8cell
chr1	94100000	94120000	1	2	raise	late2cell-8cell
chr1	96820000	96840000	1	2	raise	late2cell-8cell
chr1	106060000	106080000	2	1	reduce	late2cell-8cell
chr1	112400000	112420000	1	2	raise	late2cell-8cell
chr1	121260000	121280000	2	1	reduce	late2cell-8cell
chr1	126740000	126760000	2	1	reduce	late2cell-8cell
chr1	127500000	127520000	1	2	raise	late2cell-8cell
chr1	127700000	127720000	2	1	reduce	late2cell-8cell
chr1	133020000	133040000	4	3	reduce	late2cell-8cell
chr1	133140000	133160000	3	1	reduce	late2cell-8cell
chr1	141940000	141960000	1	2	raise	late2cell-8cell
chr1	143800000	143820000	3	2	reduce	late2cell-8cell
chr1	152320000	152340000	1	2	raise	late2cell-8cell
chr1	153760000	153780000	1	3	raise	late2cell-8cell
chr1	155780000	155800000	3	1	reduce	late2cell-8cell
chr1	157100000	157120000	1	2	raise	late2cell-8cell
chr1	157560000	157580000	2	3	raise	late2cell-8cell
chr1	158680000	158700000	1	2	raise	late2cell-8cell
chr1	160740000	160760000	2	3	raise	late2cell-8cell
chr1	161200000	161220000	1	3	raise	late2cell-8cell
chr1	161760000	161780000	1	2	raise	late2cell-8cell
chr1	162760000	162780000	3	2	reduce	late2cell-8cell
chr1	163620000	163640000	2	1	reduce	late2cell-8cell
chr1	165780000	165800000	2	3	raise	late2cell-8cell
chr1	166160000	166180000	1	2	raise	late2cell-8cell
chr1	167220000	167240000	1	3	raise	late2cell-8cell
chr1	171520000	171540000	4	3	reduce	late2cell-8cell
chr1	172640000	172660000	2	3	raise	late2cell-8cell
chr1	174600000	174620000	1	2	raise	late2cell-8cell
chr1	175940000	175960000	1	2	raise	late2cell-8cell
chr1	177800000	177820000	2	1	reduce	late2cell-8cell
chr1	178520000	178540000	2	3	raise	late2cell-8cell
chr1	179500000	179520000	1	2	raise	late2cell-8cell
chr1	180600000	180620000	2	3	raise	late2cell-8cell
chr1	180880000	180900000	1	2	raise	late2cell-8cell
chr1	182140000	182160000	2	1	reduce	late2cell-8cell
chr1	184260000	184280000	2	3	raise	late2cell-8cell
chr1	188300000	188320000	1	2	raise	late2cell-8cell
chr1	191560000	191580000	2	1	reduce	late2cell-8cell
chr1	193400000	193420000	1	4	raise	late2cell-8cell
chr2	4900000	4920000	2	3	raise	late2cell-8cell
chr2	6180000	6200000	2	1	reduce	late2cell-8cell
chr2	10100000	10120000	2	3	raise	late2cell-8cell
chr2	11120000	11140000	2	1	reduce	late2cell-8cell
chr2	13680000	13700000	2	1	reduce	late2cell-8cell
chr2	13820000	13840000	1	2	raise	late2cell-8cell
chr2	16460000	16480000	1	2	raise	late2cell-8cell
chr2	26160000	26180000	2	1	reduce	late2cell-8cell
chr2	27260000	27280000	1	2	raise	late2cell-8cell
chr2	27560000	27580000	5	2	reduce	late2cell-8cell
chr2	27780000	27800000	1	3	raise	late2cell-8cell
chr2	28920000	28940000	2	1	reduce	late2cell-8cell
chr2	29760000	29780000	1	3	raise	late2cell-8cell
chr2	30060000	30080000	1	2	raise	late2cell-8cell
chr2	30440000	30460000	1	2	raise	late2cell-8cell
chr2	30960000	30980000	3	2	reduce	late2cell-8cell
chr2	32140000	32160000	1	2	raise	late2cell-8cell
chr2	34660000	34680000	1	3	raise	late2cell-8cell
chr2	34800000	34820000	1	2	raise	late2cell-8cell
chr2	37800000	37820000	4	3	reduce	late2cell-8cell
chr2	38780000	38800000	4	1	reduce	late2cell-8cell
chr2	52760000	52780000	1	2	raise	late2cell-8cell
chr2	58460000	58480000	3	1	reduce	late2cell-8cell
chr2	60260000	60280000	4	2	reduce	late2cell-8cell
chr2	60720000	60740000	2	1	reduce	late2cell-8cell
chr2	66260000	66280000	1	2	raise	late2cell-8cell
chr2	68380000	68400000	2	1	reduce	late2cell-8cell
chr2	69460000	69480000	3	1	reduce	late2cell-8cell
chr2	72040000	72060000	1	2	raise	late2cell-8cell
chr2	75980000	76000000	1	2	raise	late2cell-8cell
chr2	80680000	80700000	1	2	raise	late2cell-8cell
chr2	83640000	83660000	2	1	reduce	late2cell-8cell
chr2	83820000	83840000	1	2	raise	late2cell-8cell
chr2	83960000	83980000	2	1	reduce	late2cell-8cell
chr2	84460000	84480000	1	2	raise	late2cell-8cell
chr2	88340000	88360000	1	3	raise	late2cell-8cell
chr2	93220000	93240000	2	1	reduce	late2cell-8cell
chr2	93840000	93860000	3	2	reduce	late2cell-8cell
chr2	101680000	101700000	3	2	reduce	late2cell-8cell
chr2	102480000	102500000	3	2	reduce	late2cell-8cell
chr2	103440000	103460000	3	4	raise	late2cell-8cell
chr2	103560000	103580000	1	2	raise	late2cell-8cell
chr2	104020000	104040000	1	3	raise	late2cell-8cell
chr2	104420000	104440000	1	2	raise	late2cell-8cell
chr2	112780000	112800000	4	3	reduce	late2cell-8cell
chr2	114180000	114200000	2	1	reduce	late2cell-8cell
chr2	118480000	118500000	3	2	reduce	late2cell-8cell
chr2	119960000	119980000	3	1	reduce	late2cell-8cell
chr2	120300000	120320000	2	1	reduce	late2cell-8cell
chr2	127460000	127480000	3	2	reduce	late2cell-8cell
chr2	129900000	129920000	1	2	raise	late2cell-8cell
chr2	130300000	130320000	2	3	raise	late2cell-8cell
chr2	131560000	131580000	1	2	raise	late2cell-8cell
chr2	131820000	131840000	2	1	reduce	late2cell-8cell
chr2	142300000	142320000	2	1	reduce	late2cell-8cell
chr2	148780000	148800000	1	2	raise	late2cell-8cell
chr2	150180000	150200000	2	3	raise	late2cell-8cell
chr2	150580000	150600000	1	2	raise	late2cell-8cell
