chr.x	TAD.start	TAD.end	pre.level	pos.level	group	Cell	chr.y	ATAC.start	ATAC.end	value
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36760000	36760050	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36760050	36760100	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36760100	36760150	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36760150	36760200	5.26518
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36760200	36760250	6.58147
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36760250	36760300	7.89777
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36760300	36760350	5.26518
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36760350	36760400	3.94888
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36760400	36760450	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36760450	36760500	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36760500	36760600	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36760600	36760650	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36760650	36760850	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36760850	36760950	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36760950	36761000	9.21406
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36761000	36761050	10.5304
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36761050	36761100	7.89777
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36761100	36761150	6.58147
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36761150	36761200	5.26518
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36761200	36761300	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36761300	36761350	3.94888
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36761350	36761400	5.26518
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36761400	36761500	6.58147
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36761500	36761550	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36761550	36761700	3.94888
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36761700	36761800	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36761800	36761850	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36761850	36762000	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36762000	36762450	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36762450	36762500	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36762500	36762550	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36762550	36762650	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36762650	36762700	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36762700	36762800	5.26518
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36762800	36762850	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36762850	36762900	3.94888
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36762900	36763000	2.63259
